region,winter,chill_hours_2000m,mean_winter_temp_2000m,chill_line_1000h_lapse6.5,chill_line_1200h_lapse6.5,chill_line_1000h_lapse5.0,chill_line_1200h_lapse5.0
Shopian (Kashmir),1990-91,2296,3.2,1050,1150,800,900
Shopian (Kashmir),1991-92,2326,3.37,1100,1200,800,1000
Shopian (Kashmir),1992-93,2093,4.11,1200,1300,900,1100
Shopian (Kashmir),1993-94,2175,4.24,1200,1350,950,1100
Shopian (Kashmir),1994-95,2370,2.77,950,1100,800,800
Shopian (Kashmir),1995-96,2415,3.0,1000,1100,800,800
Shopian (Kashmir),1996-97,2321,2.75,950,1050,800,800
Shopian (Kashmir),1997-98,2582,2.39,1000,1100,800,800
Shopian (Kashmir),1998-99,1795,6.06,1500,1650,1350,1500
Shopian (Kashmir),1999-00,2176,3.79,1150,1300,900,1100
Shopian (Kashmir),2000-01,2116,3.49,1000,1150,800,900
Shopian (Kashmir),2001-02,2269,3.03,1050,1200,800,900
Shopian (Kashmir),2002-03,2214,3.79,1150,1300,900,1050
Shopian (Kashmir),2003-04,2401,2.74,1000,1050,800,800
Shopian (Kashmir),2004-05,2318,3.08,1000,1100,800,850
Shopian (Kashmir),2005-06,2170,3.88,1200,1300,950,1100
Shopian (Kashmir),2006-07,2354,3.26,1100,1200,800,1000
Shopian (Kashmir),2007-08,2342,2.6,900,1000,800,800
Shopian (Kashmir),2008-09,2110,4.71,1300,1400,1050,1200
Shopian (Kashmir),2009-10,2122,4.18,1200,1300,900,1050
Shopian (Kashmir),2010-11,2192,3.71,1100,1200,800,1000
Shopian (Kashmir),2011-12,2275,2.72,850,1000,800,800
Shopian (Kashmir),2012-13,2432,2.32,900,1050,800,800
Shopian (Kashmir),2013-14,2371,2.45,900,1050,800,800
Shopian (Kashmir),2014-15,2164,3.89,1150,1300,850,1050
Shopian (Kashmir),2015-16,2203,3.83,1150,1300,850,1100
Shopian (Kashmir),2016-17,2011,5.1,1350,1450,1150,1300
Shopian (Kashmir),2017-18,2170,3.83,1100,1200,800,950
Shopian (Kashmir),2018-19,2489,1.97,900,1050,800,800
Shopian (Kashmir),2019-20,2425,3.02,1000,1150,800,900
Shopian (Kashmir),2020-21,2088,4.71,1300,1450,1100,1250
Shopian (Kashmir),2021-22,2225,3.92,1150,1200,850,1000
Shopian (Kashmir),2022-23,2140,4.41,1350,1400,1100,1250
Shopian (Kashmir),2023-24,1975,5.38,1400,1500,1200,1350
Shopian (Kashmir),2024-25,2099,4.75,1250,1350,1000,1150
Shopian (Kashmir),2025-26,1803,5.96,1500,1600,1350,1500
Sopore (Kashmir),1990-91,2618,-1.27,800,800,800,800
Sopore (Kashmir),1991-92,2660,-1.12,800,800,800,800
Sopore (Kashmir),1992-93,2635,-0.88,800,800,800,800
Sopore (Kashmir),1993-94,2679,-1.11,800,800,800,800
Sopore (Kashmir),1994-95,2621,-2.46,800,800,800,800
Sopore (Kashmir),1995-96,2686,-2.45,800,800,800,800
Sopore (Kashmir),1996-97,2745,-3.43,800,800,800,800
Sopore (Kashmir),1997-98,2800,-2.57,800,800,800,800
Sopore (Kashmir),1998-99,2397,1.43,800,950,800,800
Sopore (Kashmir),1999-00,2670,-0.97,800,800,800,800
Sopore (Kashmir),2000-01,2646,-0.12,800,800,800,800
Sopore (Kashmir),2001-02,2689,-1.11,800,800,800,800
Sopore (Kashmir),2002-03,2539,0.12,800,800,800,800
Sopore (Kashmir),2003-04,2742,-1.2,800,800,800,800
Sopore (Kashmir),2004-05,2552,-0.65,800,800,800,800
Sopore (Kashmir),2005-06,2697,-0.21,800,800,800,800
Sopore (Kashmir),2006-07,2702,-1.01,800,800,800,800
Sopore (Kashmir),2007-08,2525,-1.26,800,800,800,800
Sopore (Kashmir),2008-09,2589,0.49,800,800,800,800
Sopore (Kashmir),2009-10,2698,-0.13,800,800,800,800
Sopore (Kashmir),2010-11,2462,0.23,800,800,800,800
Sopore (Kashmir),2011-12,2552,-1.31,800,800,800,800
Sopore (Kashmir),2012-13,2658,-1.56,800,800,800,800
Sopore (Kashmir),2013-14,2632,-1.25,800,800,800,800
Sopore (Kashmir),2014-15,2597,0.37,800,800,800,800
Sopore (Kashmir),2015-16,2664,-0.67,800,800,800,800
Sopore (Kashmir),2016-17,2378,1.59,800,900,800,800
Sopore (Kashmir),2017-18,2506,1.02,800,800,800,800
Sopore (Kashmir),2018-19,2707,-1.82,800,800,800,800
Sopore (Kashmir),2019-20,2805,-2.02,800,800,800,800
Sopore (Kashmir),2020-21,2706,-1.74,800,800,800,800
Sopore (Kashmir),2021-22,2600,-0.9,800,800,800,800
Sopore (Kashmir),2022-23,2716,-0.99,800,800,800,800
Sopore (Kashmir),2023-24,2484,1.33,800,850,800,800
Sopore (Kashmir),2024-25,2526,0.81,800,800,800,800
Sopore (Kashmir),2025-26,2452,1.39,800,950,800,800
Kullu (Himachal),1990-91,2324,1.73,850,1000,800,800
Kullu (Himachal),1991-92,2373,1.7,850,1000,800,800
Kullu (Himachal),1992-93,2291,1.86,800,950,800,800
Kullu (Himachal),1993-94,2332,1.76,800,900,800,800
Kullu (Himachal),1994-95,2457,0.71,800,950,800,800
Kullu (Himachal),1995-96,2524,0.95,800,800,800,800
Kullu (Himachal),1996-97,2318,1.18,800,800,800,800
Kullu (Himachal),1997-98,2645,0.31,800,800,800,800
Kullu (Himachal),1998-99,2110,2.91,900,1000,800,800
Kullu (Himachal),1999-00,2278,2.17,800,1000,800,800
Kullu (Himachal),2000-01,2115,2.58,800,1050,800,800
Kullu (Himachal),2001-02,2303,1.54,800,900,800,800
Kullu (Himachal),2002-03,2146,3.04,1000,1200,800,900
Kullu (Himachal),2003-04,2303,1.94,800,950,800,800
Kullu (Himachal),2004-05,2314,2.35,900,1050,800,800
Kullu (Himachal),2005-06,2031,3.39,1000,1200,800,1000
Kullu (Himachal),2006-07,2266,2.26,850,1100,800,800
Kullu (Himachal),2007-08,2249,2.17,800,950,800,800
Kullu (Himachal),2008-09,1976,3.86,1100,1300,800,1100
