build_utc,valid_utc,lead_h,town,model_rain_mm,snowline_m
2026-09-25T15:54Z,2026-09-25T13:00Z,-2.9,Gilgit,0.0,4275
2026-09-25T15:54Z,2026-09-25T14:00Z,-1.9,Gilgit,0.1,4251
2026-09-25T15:54Z,2026-09-25T15:00Z,-0.9,Gilgit,0.3,4234
2026-09-25T15:54Z,2026-09-25T16:00Z,0.1,Gilgit,0.4,4212
2026-09-25T15:54Z,2026-09-25T17:00Z,1.1,Gilgit,0.1,4181
2026-09-25T15:54Z,2026-09-25T18:00Z,2.1,Gilgit,0.1,4148
2026-09-25T15:54Z,2026-09-25T19:00Z,3.1,Gilgit,0.0,4110
2026-09-25T15:54Z,2026-09-25T20:00Z,4.1,Gilgit,0.0,4072
2026-09-25T15:54Z,2026-09-25T21:00Z,5.1,Gilgit,0.3,4015
2026-09-25T15:54Z,2026-09-25T22:00Z,6.1,Gilgit,0.1,3985
2026-09-25T15:54Z,2026-09-25T23:00Z,7.1,Gilgit,0.1,3937
2026-09-25T15:54Z,2026-09-25T13:00Z,-2.9,Skardu,0.0,4413
2026-09-25T15:54Z,2026-09-25T14:00Z,-1.9,Skardu,0.0,4379
2026-09-25T15:54Z,2026-09-25T15:00Z,-0.9,Skardu,0.0,4351
2026-09-25T15:54Z,2026-09-25T16:00Z,0.1,Skardu,0.0,4325
2026-09-25T15:54Z,2026-09-25T17:00Z,1.1,Skardu,0.0,4243
2026-09-25T15:54Z,2026-09-25T18:00Z,2.1,Skardu,0.0,4212
2026-09-25T15:54Z,2026-09-25T19:00Z,3.1,Skardu,0.0,4201
2026-09-25T15:54Z,2026-09-25T20:00Z,4.1,Skardu,0.0,4171
2026-09-25T15:54Z,2026-09-25T21:00Z,5.1,Skardu,0.0,4154
2026-09-25T15:54Z,2026-09-25T22:00Z,6.1,Skardu,0.0,4101
2026-09-25T15:54Z,2026-09-25T23:00Z,7.1,Skardu,0.0,4079
2026-09-25T15:54Z,2026-09-25T13:00Z,-2.9,Srinagar,0.0,4252
2026-09-25T15:54Z,2026-09-25T14:00Z,-1.9,Srinagar,0.0,4259
2026-09-25T15:54Z,2026-09-25T15:00Z,-0.9,Srinagar,0.0,4252
2026-09-25T15:54Z,2026-09-25T16:00Z,0.1,Srinagar,0.0,4250
2026-09-25T15:54Z,2026-09-25T17:00Z,1.1,Srinagar,0.0,4246
2026-09-25T15:54Z,2026-09-25T18:00Z,2.1,Srinagar,0.0,4222
2026-09-25T15:54Z,2026-09-25T19:00Z,3.1,Srinagar,0.0,4177
2026-09-25T15:54Z,2026-09-25T20:00Z,4.1,Srinagar,0.0,4132
2026-09-25T15:54Z,2026-09-25T21:00Z,5.1,Srinagar,0.0,4085
2026-09-25T15:54Z,2026-09-25T22:00Z,6.1,Srinagar,0.0,4049
2026-09-25T15:54Z,2026-09-25T23:00Z,7.1,Srinagar,0.0,4036
2026-09-25T15:54Z,2026-09-25T13:00Z,-2.9,Leh,0.0,4749
2026-09-25T15:54Z,2026-09-25T14:00Z,-1.9,Leh,0.0,4694
2026-09-25T15:54Z,2026-09-25T15:00Z,-0.9,Leh,0.0,4637
2026-09-25T15:54Z,2026-09-25T16:00Z,0.1,Leh,0.0,4575
2026-09-25T15:54Z,2026-09-25T17:00Z,1.1,Leh,0.0,4538
2026-09-25T15:54Z,2026-09-25T18:00Z,2.1,Leh,0.0,4508
2026-09-25T15:54Z,2026-09-25T19:00Z,3.1,Leh,0.0,4437
2026-09-25T15:54Z,2026-09-25T20:00Z,4.1,Leh,0.0,4411
2026-09-25T15:54Z,2026-09-25T21:00Z,5.1,Leh,0.0,4360
2026-09-25T15:54Z,2026-09-25T22:00Z,6.1,Leh,0.0,4282
2026-09-25T15:54Z,2026-09-25T23:00Z,7.1,Leh,0.0,4252
2026-09-25T15:54Z,2026-09-25T13:00Z,-2.9,Jammu,0.0,4272
2026-09-25T15:54Z,2026-09-25T14:00Z,-1.9,Jammu,0.0,4310
2026-09-25T15:54Z,2026-09-25T15:00Z,-0.9,Jammu,0.0,4338
