build_utc,obs_utc,id,name,elev_m,temp_c,dewpoint_c,wind_dir,wind_kt,qnh_hpa,wx,vis,cover,raw
2026-09-25T15:54Z,2026-09-25T15:30Z,OPIS,Islamabad/Gandhara Intl,542,23,20,230,4,1007,,3.73,CLR,METAR OPIS 251530Z 23004KT 6000 NSC 23/20 Q1007 NOSIG
2026-09-25T15:54Z,2026-09-25T15:30Z,OPST,Sailkot Arpt,234,30,22,0,0,1005,FU,2.49,CLR,METAR OPST 251530Z 00000KT 4000 FU NSC 30/22 Q1005 NOSIG RH65
2026-09-25T15:54Z,2026-09-25T14:30Z,VISR,Srinagar Intl,1655,19,12,VRB,2,1016,,3.73,FEW,METAR VISR 251430Z VRB02KT 6000 FEW025 19/12 Q1016 NOSIG
2026-09-25T15:54Z,2026-09-25T14:30Z,VICG,Chandigarh/Singh Intl,316,27,22,210,3,1006,,3.73,SCT,METAR VICG 251430Z 21003KT 6000 SCT025 27/22 Q1006 NOSIG
2026-09-25T15:54Z,2026-09-25T14:30Z,VILH,Leh Kushok Bakula Arpt,3256,17,-2,300,20,1020,,3.73,SCT,METAR VILH 251430Z 30020G30KT 6000 FEW070 SCT150 17/M02 Q1020 TEMPO 29025KT
2026-09-25T15:54Z,2026-09-25T15:00Z,VIDN,Dehradun Arpt,550,23,22,70,3,1009,BR,1.86,SCT,METAR VIDN 251500Z 07003KT 3000 BR SCT030 23/22 Q1009 NOSIG
2026-09-25T15:54Z,2026-09-25T15:30Z,VNKT,Kathmandu/Tribhuvan Intl,1334,17,17,90,3,1017,-RA,3.73,OVC,METAR VNKT 251530Z 09003KT 6000 -RA FEW008 SCT025 OVC090 17/17 Q1017 NOSIG
2026-09-25T15:54Z,2026-09-25T14:30Z,VEBD,Siliguri/Bagdogra Arpt,126,28,21,VRB,2,1010,,3.73,BKN,METAR VEBD 251430Z VRB02KT 6000 SCT025 BKN080 28/21 Q1010 NOSIG
2026-09-25T15:54Z,2026-09-25T13:00Z,VELR,N Lakhimpur/Lilabari Arpt,101,28,25,0,0,1009,BR,2.49,FEW,METAR VELR 251300Z 00000KT 4000 BR FEW020 28/25 Q1009 NOSIG
2026-09-25T15:54Z,2026-09-25T13:00Z,VEMN,Dibrugarh Arpt,111,31,26,VRB,2,1008,BR,3.11,SCT,METAR VEMN 251300Z VRB02KT 5000 BR SCT100 31/26 Q1008 NOSIG
2026-09-25T16:00Z,2026-09-25T16:00Z,OPST,Sailkot Arpt,234,29,22,0,0,1006,FU,2.49,CLR,METAR OPST 251600Z 00000KT 4000 FU NSC 29/22 Q1006 NOSIG RH68
2026-09-25T16:00Z,2026-09-25T15:30Z,VISR,Srinagar Intl,1655,18,11,VRB,2,1017,,3.73,FEW,METAR VISR 251530Z VRB02KT 6000 FEW025 18/11 Q1017 NOSIG
2026-09-25T16:00Z,2026-09-25T15:30Z,VICG,Chandigarh/Singh Intl,316,27,22,VRB,2,1007,,3.73,SCT,METAR VICG 251530Z VRB02KT 6000 SCT025 27/22 Q1007 NOSIG
2026-09-25T16:00Z,2026-09-25T15:30Z,VILH,Leh Kushok Bakula Arpt,3256,16,-2,300,18,1021,,3.73,SCT,METAR VILH 251530Z 30018G28KT 6000 FEW070 SCT150 16/M02 Q1021 TEMPO 29025KT
2026-09-25T16:00Z,2026-09-25T16:00Z,VNKT,Kathmandu/Tribhuvan Intl,1334,17,17,0,0,1017,-RA,3.73,OVC,METAR VNKT 251600Z 00000KT 6000 -RA FEW008 SCT025 OVC090 17/17 Q1017 NOSIG
2026-09-25T16:00Z,2026-09-25T15:30Z,VEBD,Siliguri/Bagdogra Arpt,126,27,21,VRB,2,1010,,3.73,BKN,METAR VEBD 251530Z VRB02KT 6000 SCT025 BKN090 27/21 Q1010 NOSIG
2026-09-25T20:03Z,2026-09-25T20:00Z,OPIS,Islamabad/Gandhara Intl,542,20,18,90,4,1007,,3.73,CLR,METAR OPIS 252000Z 09004KT 6000 NSC 20/18 Q1007 NOSIG
2026-09-25T20:03Z,2026-09-25T20:00Z,OPST,Sailkot Arpt,234,26,22,0,0,1006,FU,2.49,CLR,METAR OPST 252000Z 00000KT 4000 FU NSC 26/22 Q1006 NOSIG RH80
2026-09-25T20:03Z,2026-09-25T19:30Z,VISR,Srinagar Intl,1655,14,11,220,4,1017,,3.73,FEW,METAR VISR 251930Z 22004KT 6000 FEW025 14/11 Q1017 NOSIG
2026-09-25T20:03Z,2026-09-25T19:30Z,VICG,Chandigarh/Singh Intl,316,26,22,VRB,2,1007,,3.73,SCT,METAR VICG 251930Z VRB02KT 6000 SCT025 26/22 Q1007 NOSIG
2026-09-25T20:03Z,2026-09-25T19:30Z,VILH,Leh Kushok Bakula Arpt,3256,15,-4,300,10,1022,,3.73,SCT,METAR VILH 251930Z 30010KT 6000 FEW070 SCT150 15/M04 Q1022 NOSIG
2026-09-25T20:03Z,2026-09-25T20:00Z,VNKT,Kathmandu/Tribhuvan Intl,1334,17,17,0,0,1016,,4.35,OVC,METAR VNKT 252000Z 00000KT 7000 FEW008 SCT025 OVC090 17/17 Q1016 NOSIG
2026-09-25T20:03Z,2026-09-25T19:30Z,VEBD,Siliguri/Bagdogra Arpt,126,28,21,VRB,2,1009,,3.73,BKN,METAR VEBD 251930Z VRB02KT 6000 SCT025 BKN090 28/21 Q1009 NOSIG
2026-09-25T23:20Z,2026-09-25T23:00Z,OPIS,Islamabad/Gandhara Intl,542,19,18,90,4,1007,FU,2.49,CLR,METAR OPIS 252300Z 09004KT 4000 FU NSC 19/18 Q1007 TEMPO 3500
2026-09-25T23:20Z,2026-09-25T23:00Z,OPST,Sailkot Arpt,234,25,22,0,0,1005,FU,2.17,CLR,METAR OPST 252300Z 00000KT 3500 FU NSC 25/22 Q1005 NOSIG RH83
2026-09-25T23:20Z,2026-09-25T22:30Z,VISR,Srinagar Intl,1655,10,9,VRB,2,1017,,3.73,FEW,METAR VISR 252230Z VRB02KT 6000 FEW025 10/09 Q1017 NOSIG
2026-09-25T23:20Z,2026-09-25T22:30Z,VICG,Chandigarh/Singh Intl,316,25,22,VRB,2,1005,BR,3.11,SCT,METAR VICG 252230Z VRB02KT 5000 BR SCT020 SCT100 25/22 Q1005 NOSIG
2026-09-25T23:20Z,2026-09-25T22:30Z,VILH,Leh Kushok Bakula Arpt,3256,12,-3,290,10,1022,,3.73,SCT,METAR VILH 252230Z 29010KT 6000 FEW070 SCT150 12/M03 Q1022 NOSIG
2026-09-25T23:20Z,2026-09-25T23:00Z,VNKT,Kathmandu/Tribhuvan Intl,1334,17,16,40,4,1015,,4.35,OVC,METAR VNKT 252300Z 04004KT 7000 FEW008 SCT025 OVC090 17/16 Q1015 NOSIG
